time,B1,B2,B3,T1,T2,T3
2022-06-01 00:00:00,5,3,1,2,1,1
2022-06-01 00:05:00,5,3,1,2,1,1
2022-06-01 00:10:00,5,3,1,2,1,1
2022-06-01 00:15:00,4,2,1,2,1,1
2022-06-01 00:20:00,5,2,1,2,1,1
2022-06-01 00:25:00,6,2,1,2,1,1
2022-06-01 00:30:00,5,3,1,3,1,1
2022-06-01 00:35:00,5,3,1,2,1,1
2022-06-01 00:40:00,6,2,1,2,1,1
2022-06-01 00:45:00,5,3,1,2,1,1
2022-06-01 00:50:00,6,2,1,2,1,1
2022-06-01 00:55:00,5,3,1,2,1,1
2022-06-01 01:00:00,6,3,2,2,1,1
2022-06-01 01:05:00,5,2,1,2,1,1
2022-06-01 01:10:00,5,3,1,2,1,1
2022-06-01 01:15:00,5,3,1,2,1,1
2022-06-01 01:20:00,6,2,1,2,1,1
2022-06-01 01:25:00,5,2,1,2,1,1
2022-06-01 01:30:00,5,3,1,2,1,1
2022-06-01 01:35:00,5,3,1,2,1,1
2022-06-01 01:40:00,6,3,1,2,1,1
2022-06-01 01:45:00,5,3,1,2,1,1
2022-06-01 01:50:00,5,2,1,2,1,1
2022-06-01 01:55:00,4,3,1,2,1,1
2022-06-01 02:00:00,5,3,1,2,1,1
2022-06-01 02:05:00,5,3,1,2,1,1
2022-06-01 02:10:00,6,2,1,2,1,1
2022-06-01 02:15:00,6,3,1,2,1,1
2022-06-01 02:20:00,5,3,1,2,1,1
2022-06-01 02:25:00,5,3,1,2,1,1
2022-06-01 02:30:00,5,2,1,2,1,1
2022-06-01 02:35:00,6,2,1,2,1,1
2022-06-01 02:40:00,5,3,1,2,1,1
2022-06-01 02:45:00,7,2,1,2,1,1
2022-06-01 02:50:00,5,2,1,2,2,1
2022-06-01 02:55:00,5,2,1,2,1,1
2022-06-01 03:00:00,6,3,1,2,1,1
2022-06-01 03:05:00,5,2,1,2,1,1
2022-06-01 03:10:00,5,2,1,2,1,1
2022-06-01 03:15:00,4,3,2,2,1,1
2022-06-01 03:20:00,5,3,1,2,1,1
2022-06-01 03:25:00,4,3,1,2,1,1
2022-06-01 03:30:00,4,3,1,2,1,1
